Date,Adj Close 
2009-04-27,62.51
2009-04-24,62.41
2009-04-23,62.34
2009-04-22,62.26
2009-04-21,62.1
2009-04-20,62.29
2009-04-17,61.94
2009-04-16,62.28
2009-04-15,62.39
2009-04-14,62.22
2009-04-13,62.23
2009-04-09,61.78
2009-04-08,61.87
2009-04-07,61.67
2009-04-06,61.77
2009-04-03,61.78
2009-04-02,61.99
2009-04-01,62.18
2009-03-31,62.21
2009-03-30,61.89
2009-03-27,61.61
2009-03-26,61.56
2009-03-25,61.43
2009-03-24,61.7
2009-03-23,62.13
2009-03-20,62.13
2009-03-19,62.48
2009-03-18,62.32
2009-03-17,61.35
2009-03-16,61.53
2009-03-13,61.72
2009-03-12,61.66
2009-03-11,61.61
2009-03-10,61.46
2009-03-09,61.32
2009-03-06,61.74
2009-03-05,61.57
2009-03-04,61.37
2009-03-03,61.66
2009-03-02,61.74
2009-02-27,61.53
2009-02-26,61.53
2009-02-25,61.85
2009-02-24,61.91
2009-02-23,62.03
2009-02-20,61.71
2009-02-19,62.03
2009-02-18,62.13
2009-02-17,62.25
2009-02-13,62.21
2009-02-12,62.4
2009-02-11,62.07
2009-02-10,62.08
2009-02-09,61.7
2009-02-06,61.69
2009-02-05,61.53
2009-02-04,61.72
2009-02-03,61.81
2009-02-02,62.08
2009-01-30,62.19
2009-01-29,61.8
2009-01-28,62.35
2009-01-27,62.32
2009-01-26,62
2009-01-23,62.06
2009-01-22,62.16
2009-01-21,62.43
2009-01-20,62.76
2009-01-16,63.09
2009-01-15,62.76
2009-01-14,62.77
2009-01-13,62.85
2009-01-12,62.75
2009-01-09,62.42
2009-01-08,62.63
2009-01-07,63.12
2009-01-06,63.7
2009-01-05,64.06
2009-01-02,63.05
2008-12-31,63.45
2008-12-30,63.41
2008-12-29,63.38
2008-12-26,62.9
2008-12-24,63.11
2008-12-23,62.81
2008-12-22,62.21
2008-12-19,61.87
2008-12-18,62.07
2008-12-17,61.69
2008-12-16,61.36
2008-12-15,61.12
2008-12-12,60.97
2008-12-11,60.95
2008-12-10,60.64
2008-12-09,60.75
2008-12-08,60.18
2008-12-05,60.26
2008-12-04,60.59
2008-12-03,60.39
2008-12-02,60.39
2008-12-01,60.33
2008-11-28,59.49
2008-11-26,59.6
2008-11-25,59.83
2008-11-24,58.38
2008-11-21,58.38
2008-11-20,58.85
2008-11-19,58.84
2008-11-18,58.67
2008-11-17,58.76
2008-11-14,58.6
2008-11-13,58.42
2008-11-12,58.22
2008-11-11,58.73
2008-11-10,58.29
2008-11-07,58.67
2008-11-06,58.37
2008-11-05,58.61
2008-11-04,57.74
2008-11-03,56.82
2008-10-31,57.74
2008-10-30,57.92
2008-10-29,57.99
2008-10-28,56.91
